Longitude_city1,Latitude_City1,Longitude_City2,Latitude_City2,City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num
138.59863,-34.92866,133.8807,-23.698,ADELAIDE,ALICE SPRINGS,Jan-84,15743,143,81.8,1316,20717788,25327369,19246,1984,1
138.59863,-34.92866,153.02107,-27.47013,ADELAIDE,BRISBANE,Jan-84,3781,32,89.8,1622,6132782,6829379,4210,1984,1
138.59863,-34.92866,149.12899,-35.282,ADELAIDE,CANBERRA,Jan-84,1339,12,94.7,972,1301508,1374348,1414,1984,1
138.59863,-34.92866,130.84178,-12.46283,ADELAIDE,DARWIN,Jan-84,3050,33,66.8,2619,7987950,11958009,4566,1984,1
138.59863,-34.92866,153.39999,-28.01667,ADELAIDE,GOLD COAST,Jan-84,1596,16,88.5,1607,2564772,2898047,1803,1984,1
138.59863,-34.92866,149.18681,-21.14434,ADELAIDE,MELBOURNE,Jan-84,50817,711,66.3,643,32675331,49284059,76647,1984,1
138.59863,-34.92866,148.0482,-22.0018,ADELAIDE,PERTH,Jan-84,18670,144,85.1,2120,39580400,46510458,21939,1984,1
138.59863,-34.92866,148.0482,-22.0018,ADELAIDE,SYDNEY,Jan-84,37401,358,80.8,1167,43646967,54018524,46288,1984,1
146.91647,-36.08078,148.0482,-22.0018,ALBURY,SYDNEY,Jan-84,11478,296,79.8,452,5188056,6501323,14383,1984,1
133.8807,-23.698,130.84178,-12.46283,ALICE SPRINGS,DARWIN,Jan-84,9035,89,71.2,1305,11790675,16559937,12690,1984,1
133.8807,-23.698,148.0482,-22.0018,ALICE SPRINGS,SYDNEY,Jan-84,2896,31,75.8,2022,5855712,7725214,3821,1984,1
153.02107,-27.47013,122.2359,-17.9614,BRISBANE,CAIRNS,Jan-84,1397,31,71.9,1391,1943227,2702680,1943,1984,1
153.02107,-27.47013,149.12899,-35.282,BRISBANE,CANBERRA,Jan-84,593,8,72.7,956,566908,779791,816,1984,1
153.02107,-27.47013,130.84178,-12.46283,BRISBANE,DARWIN,Jan-84,2627,22,80.7,2852,7492204,9284020,3255,1984,1
153.02107,-27.47013,149.18681,-21.14434,BRISBANE,MACKAY,Jan-84,192,15,48.2,797,153024,317477,398,1984,1
153.02107,-27.47013,149.18681,-21.14434,BRISBANE,MELBOURNE,Jan-84,31791,324,84.4,1381,43903371,52018212,37667,1984,1
153.02107,-27.47013,148.0482,-22.0018,BRISBANE,PERTH,Jan-84,566,4,88.2,3615,2046090,2319830,642,1984,1
153.02107,-27.47013,148.0482,-22.0018,BRISBANE,PROSERPINE,Jan-84,7432,92,76.1,895,6651640,8740657,9766,1984,1
153.02107,-27.47013,148.0482,-22.0018,BRISBANE,ROCKHAMPTON,Jan-84,21633,287,77.2,518,11205894,14515407,28022,1984,1
153.02107,-27.47013,148.0482,-22.0018,BRISBANE,SYDNEY,Jan-84,95027,990,73.7,753,71555331,97090001,128938,1984,1
153.02107,-27.47013,150.92905,-31.09048,BRISBANE,TOWNSVILLE,Jan-84,35580,376,82,1112,39564960,48249951,43390,1984,1
122.2359,-17.9614,148.0482,-22.0018,BROOME,PERTH,Jan-84,573,12,72.5,1677,960921,1325408,790,1984,1
149.12899,-35.282,149.18681,-21.14434,CANBERRA,MELBOURNE,Jan-84,21763,323,60.5,470,10228610,16906793,35972,1984,1
149.12899,-35.282,148.0482,-22.0018,CANBERRA,SYDNEY,Jan-84,32529,562,56.4,236,7676844,13611426,57676,1984,1
153.11414,-30.29628,148.0482,-22.0018,COFFS HARBOUR,SYDNEY,Jan-84,6731,166,79.8,443,2981833,3736633,8435,1984,1
130.84178,-12.46283,148.0482,-22.0018,DARWIN,SYDNEY,Jan-84,779,9,56.4,3155,2457745,4357704,1381,1984,1
146.34639,-41.18056,149.18681,-21.14434,DEVONPORT,MELBOURNE,Jan-84,13300,380,72.5,412,5479600,7558069,18345,1984,1
148.60111,-32.25694,148.0482,-22.0018,DUBBO,SYDNEY,Jan-84,4708,136,64.1,310,1459480,2276880,7345,1984,1
153.39999,-28.01667,148.0482,-22.0018,GOLD COAST,SYDNEY,Jan-84,42814,454,81.9,680,29113520,35547643,52276,1984,1
147.32499,-42.88055,149.18681,-21.14434,HOBART,MELBOURNE,Jan-84,35293,440,76.1,618,21811074,28661070,46377,1984,1
